Review,Sentiment
"When you go to the 'Look inside' option, you can see that the code has colors. But the Paperback format (printed version) does not have color. I hadn't purchased the book if I had known this before. Too expensive for a black and white printed edition.",negative
"I wouldn't recommend if completely new to coding in general, however if you are confident debugging (as the errors are generally small), it is useful. Not mentioned are some of the data files which are located on the authors github account (the url links in the book don't work also)",negative
"I bought this book for a master's data science class and it is the one book I keep referring back to. If I forget how to code something or haven't done a particular task in a while, i'll just pop it open, it's easy to find the right spot because each task has its own section and the code samples are great.",positive
"Please review the table of contents before purchasing this book - Machine Learning chops until after a number of chapters. It does not look as easy as it looks - you will have to practice a ton before you can comfortably use these skills on a regular basis with a reasonable amount of precision - but I thoroughly enjoyed the gentle introduction topics. Overall a definite handbook to have in one's Data Science arsenal.",positive
"If you are following a parallel course of ML then this book is great to support you .. Large amount of practical example.",positive
"I have been studying data science during this pandemic; and since it has been a while since I graduated from college, my brain hasn't been as analytically sharp as I wanted it to be. And like many others, I've scoured the Internet to supplement what I have been studying. I've found many; but Chris's web site was the most organized and lucid to follow, with pertinent comments for practically every code. Hence each exercise is explained clearly. I realized I don't always have access to the Internet, so I decided to purchase the book. More power to Chris in helping us less mortals understand machine learning!",positive
"Chris Albon has a broad and deep knowledge of data science. This book is a treasure of hints, explanations, and examples for the use of Python and associated libraries, including Pandas, in machine learning. It is not a text, but it much more than cheat sheets. Chris begins with common operations with arrays, vectors, and matrices -- loading, sorting, examining, analyzing, combining, modifying, transforming. Then continues with procedures used to prepare data -- data handling, normalization, standardization, encoding categories, selecting date ranges, dimensionality reduction, feature selection, and cross-validation. Several chapters review models, including techniques for model selection, hyper-parameter tuning, performance metrics, and discussions of fitting and validation. Each topic is clearly explained and accompanied by a short, self-contained, listing of a Python (Version 3) program as illustration. I highly recommend this book to all of us who need a quick refresher related to a command or procedure.",positive
"This is a great resource for quick and insightful tips for your machine learning challenges. As the author states, you do need to have python and machine learning experience to get maximum benefit from this book. I would argue that even those with less Machine Learning experience can learn a lot from the first 8 chapters. Chapters 9-21 are definitely best suited for someone that does have some experience using scikit-learn. Bottom line, this is a useful resource to have next to your computer when those machine learning problems pop up in your day to day work.",positive
"The book starts by explaining each function with an example that makes sense. But it builds on these pieces as the book continues. The approach is well disciplined and pretty quickly you are building solutions. A mix of theory and code with emphasis on the latter. You won't learn calculus but you will learn how to do it from the code. Good for those who dropped out of Andrew Ng's courses and mortals wanting results. Me: 40 years development, MBA, and 5 years data science. Imagining and prediction mostly.",positive
"Perfect when you need to find out how to do something specific, like most of the Cookbooks are. This one didn't disappoint.",positive
